,FAALİYET KONUSU,Year,Count,year,Tarih
0,Dikilen Ağaç Sayısı,2004,100.0,2004-01-01,2004-01-01
1,Dikilen Ağaç Sayısı,2005,230.0,2005-01-01,2005-01-01
2,Dikilen Ağaç Sayısı,2006,215.0,2006-01-01,2006-01-01
3,Dikilen Ağaç Sayısı,2007,217.0,2007-01-01,2007-01-01
4,Dikilen Ağaç Sayısı,2008,198.0,2008-01-01,2008-01-01
5,Dikilen Ağaç Sayısı,2009,35.0,2009-01-01,2009-01-01
6,Dikilen Ağaç Sayısı,2010,40.0,2010-01-01,2010-01-01
7,Dikilen Ağaç Sayısı,2011,73.0,2011-01-01,2011-01-01
8,Dikilen Ağaç Sayısı,2012,167.0,2012-01-01,2012-01-01
9,Dikilen Ağaç Sayısı,2013,137.0,2013-01-01,2013-01-01
10,Dikilen Ağaç Sayısı,2014,107.0,2014-01-01,2014-01-01
11,Dikilen Ağaç Sayısı,2015,87.0,2015-01-01,2015-01-01
12,Dikilen Ağaç Sayısı,2016,295.0,2016-01-01,2016-01-01
13,Dikilen Ağaç Sayısı,2017,180.0,2017-01-01,2017-01-01
14,Dikilen Ağaç Sayısı,2018,49.0,2018-01-01,2018-01-01
15,Dikilen Ağaç Sayısı,2019,24.0,2019-01-01,2019-01-01
16,Dikilen Ağaç Sayısı,2020,55.0,2020-01-01,2020-01-01
17,Dikilen Ağaç Sayısı,2021,56.0,2021-01-01,2021-01-01
18,Dikilen Ağaç Sayısı,2022,1.0,2022-01-01,2022-01-01
