,FAALİYET KONUSU,Year,Count,year
0,Dikilen Çalı Sayısı,2004,450000.0,2004-01-01
1,Dikilen Çalı Sayısı,2005,600000.0,2005-01-01
2,Dikilen Çalı Sayısı,2006,200000.0,2006-01-01
3,Dikilen Çalı Sayısı,2007,155657.0,2007-01-01
4,Dikilen Çalı Sayısı,2008,81113.0,2008-01-01
5,Dikilen Çalı Sayısı,2009,16259.0,2009-01-01
6,Dikilen Çalı Sayısı,2010,156450.0,2010-01-01
7,Dikilen Çalı Sayısı,2011,32750.0,2011-01-01
8,Dikilen Çalı Sayısı,2012,476728.0,2012-01-01
9,Dikilen Çalı Sayısı,2013,640235.0,2013-01-01
10,Dikilen Çalı Sayısı,2014,609638.0,2014-01-01
11,Dikilen Çalı Sayısı,2015,865329.0,2015-01-01
12,Dikilen Çalı Sayısı,2016,732695.0,2016-01-01
13,Dikilen Çalı Sayısı,2017,3882953.0,2017-01-01
14,Dikilen Çalı Sayısı,2018,1965202.0,2018-01-01
15,Dikilen Çalı Sayısı,2019,1695824.0,2019-01-01
16,Dikilen Çalı Sayısı,2020,2031220.0,2020-01-01
17,Dikilen Çalı Sayısı,2021,2876023.0,2021-01-01
18,Dikilen Çalı Sayısı,2022,2708053.0,2022-01-01
