country,date,total_ghg,co2,methane,nitrous_oxide,month,year
Turkey,1938-01-01,4.634,4.634,0.0,0.0,1,1938
Turkey,1939-01-01,4.905,4.905,0.0,0.0,1,1939
Turkey,1940-01-01,5.469,5.469,0.0,0.0,1,1940
Turkey,1941-01-01,5.619,5.619,0.0,0.0,1,1941
Turkey,1942-01-01,4.946,4.946,0.0,0.0,1,1942
Turkey,1943-01-01,6.118,6.118,0.0,0.0,1,1943
Turkey,1944-01-01,7.023,7.023,0.0,0.0,1,1944
Turkey,1945-01-01,7.089,7.089,0.0,0.0,1,1945
Turkey,1946-01-01,7.023,7.023,0.0,0.0,1,1946
Turkey,1947-01-01,7.477,7.477,0.0,0.0,1,1947
Turkey,1948-01-01,7.7,7.7,0.0,0.0,1,1948
Turkey,1949-01-01,7.968,7.968,0.0,0.0,1,1949
Turkey,1950-01-01,9.488,9.488,0.0,0.0,1,1950
Turkey,1951-01-01,10.184,10.184,0.0,0.0,1,1951
Turkey,1952-01-01,10.474,10.474,0.0,0.0,1,1952
Turkey,1953-01-01,12.965,12.965,0.0,0.0,1,1953
Turkey,1954-01-01,13.433,13.433,0.0,0.0,1,1954
Turkey,1955-01-01,13.619,13.619,0.0,0.0,1,1955
Turkey,1956-01-01,14.359,14.359,0.0,0.0,1,1956
Turkey,1957-01-01,15.97,15.97,0.0,0.0,1,1957
Turkey,1958-01-01,16.035,16.035,0.0,0.0,1,1958
Turkey,1959-01-01,17.192,17.192,0.0,0.0,1,1959
Turkey,1960-01-01,16.799,16.799,0.0,0.0,1,1960
Turkey,1961-01-01,17.341,17.341,0.0,0.0,1,1961
Turkey,1962-01-01,21.605,21.605,0.0,0.0,1,1962
Turkey,1963-01-01,22.64,22.64,0.0,0.0,1,1963
Turkey,1964-01-01,26.303,26.303,0.0,0.0,1,1964
Turkey,1965-01-01,27.353,27.353,0.0,0.0,1,1965
Turkey,1966-01-01,31.506,31.506,0.0,0.0,1,1966
Turkey,1967-01-01,33.479,33.479,0.0,0.0,1,1967
Turkey,1968-01-01,36.265,36.265,0.0,0.0,1,1968
Turkey,1969-01-01,38.753,38.753,0.0,0.0,1,1969
Turkey,1970-01-01,42.579,42.579,0.0,0.0,1,1970
Turkey,1971-01-01,47.638,47.638,0.0,0.0,1,1971
Turkey,1972-01-01,53.722,53.722,0.0,0.0,1,1972
Turkey,1973-01-01,59.31,59.31,0.0,0.0,1,1973
Turkey,1974-01-01,60.929,60.929,0.0,0.0,1,1974
Turkey,1975-01-01,65.419,65.419,0.0,0.0,1,1975
Turkey,1976-01-01,73.359,73.359,0.0,0.0,1,1976
Turkey,1977-01-01,81.121,81.121,0.0,0.0,1,1977
Turkey,1978-01-01,76.714,76.714,0.0,0.0,1,1978
Turkey,1979-01-01,75.038,75.038,0.0,0.0,1,1979
Turkey,1980-01-01,75.212,75.212,0.0,0.0,1,1980
