country,date,year,Gas,Emission
Turkey,1938-01-01,1938,total_ghg,4.634
Turkey,1939-01-01,1939,total_ghg,4.905
Turkey,1940-01-01,1940,total_ghg,5.469
Turkey,1941-01-01,1941,total_ghg,5.619
Turkey,1942-01-01,1942,total_ghg,4.946
Turkey,1943-01-01,1943,total_ghg,6.118
Turkey,1944-01-01,1944,total_ghg,7.023
Turkey,1945-01-01,1945,total_ghg,7.089
Turkey,1946-01-01,1946,total_ghg,7.023
Turkey,1947-01-01,1947,total_ghg,7.477
Turkey,1948-01-01,1948,total_ghg,7.7
Turkey,1949-01-01,1949,total_ghg,7.968
Turkey,1950-01-01,1950,total_ghg,9.488
Turkey,1951-01-01,1951,total_ghg,10.184
Turkey,1952-01-01,1952,total_ghg,10.474
Turkey,1953-01-01,1953,total_ghg,12.965
Turkey,1954-01-01,1954,total_ghg,13.433
Turkey,1955-01-01,1955,total_ghg,13.619
Turkey,1956-01-01,1956,total_ghg,14.359
Turkey,1957-01-01,1957,total_ghg,15.97
Turkey,1958-01-01,1958,total_ghg,16.035
Turkey,1959-01-01,1959,total_ghg,17.192
Turkey,1960-01-01,1960,total_ghg,16.799
Turkey,1961-01-01,1961,total_ghg,17.341
Turkey,1962-01-01,1962,total_ghg,21.605
Turkey,1963-01-01,1963,total_ghg,22.64
Turkey,1964-01-01,1964,total_ghg,26.303
Turkey,1965-01-01,1965,total_ghg,27.353
Turkey,1966-01-01,1966,total_ghg,31.506
Turkey,1967-01-01,1967,total_ghg,33.479
Turkey,1968-01-01,1968,total_ghg,36.265
Turkey,1969-01-01,1969,total_ghg,38.753
Turkey,1970-01-01,1970,total_ghg,42.579
Turkey,1971-01-01,1971,total_ghg,47.638
Turkey,1972-01-01,1972,total_ghg,53.722
Turkey,1973-01-01,1973,total_ghg,59.31
Turkey,1974-01-01,1974,total_ghg,60.929
Turkey,1975-01-01,1975,total_ghg,65.419
Turkey,1976-01-01,1976,total_ghg,73.359
Turkey,1977-01-01,1977,total_ghg,81.121
Turkey,1978-01-01,1978,total_ghg,76.714
Turkey,1979-01-01,1979,total_ghg,75.038
Turkey,1980-01-01,1980,total_ghg,75.212
Turkey,1981-01-01,1981,total_ghg,79.186
Turkey,1982-01-01,1982,total_ghg,86.21
Turkey,1983-01-01,1983,total_ghg,89.812
Turkey,1984-01-01,1984,total_ghg,94.906
Turkey,1985-01-01,1985,total_ghg,105.662
Turkey,1986-01-01,1986,total_ghg,115.618
Turkey,1987-01-01,1987,total_ghg,128.442
Turkey,1988-01-01,1988,total_ghg,124.728
Turkey,1989-01-01,1989,total_ghg,137.57
Turkey,1990-01-01,1990,total_ghg,188.5
Turkey,1991-01-01,1991,total_ghg,190.95
Turkey,1992-01-01,1992,total_ghg,198.44
Turkey,1993-01-01,1993,total_ghg,204.73
Turkey,1994-01-01,1994,total_ghg,199.89
Turkey,1995-01-01,1995,total_ghg,214.4
Turkey,1996-01-01,1996,total_ghg,232.11
Turkey,1997-01-01,1997,total_ghg,241.1
Turkey,1998-01-01,1998,total_ghg,242.32
Turkey,1999-01-01,1999,total_ghg,242.2
