Yıl,year,total_ghg,Tarih,Gas,Emission
1990-01-01,1990,219.52615112605991,1990-01-01,Toplam,219.52615112605991
1991-01-01,1991,226.79472134126274,1991-01-01,Toplam,226.79472134126274
1992-01-01,1992,233.13248256892956,1992-01-01,Toplam,233.13248256892956
1993-01-01,1993,240.77174649845836,1993-01-01,Toplam,240.77174649845836
1994-01-01,1994,234.3878300250214,1994-01-01,Toplam,234.3878300250214
1995-01-01,1995,248.2489088369333,1995-01-01,Toplam,248.2489088369333
1996-01-01,1996,267.58138626218545,1996-01-01,Toplam,267.58138626218545
1997-01-01,1997,278.8138405457876,1997-01-01,Toplam,278.8138405457876
1998-01-01,1998,280.318958801664,1998-01-01,Toplam,280.318958801664
1999-01-01,1999,277.7767990658814,1999-01-01,Toplam,277.7767990658814
2000-01-01,2000,298.9167547024636,2000-01-01,Toplam,298.9167547024636
2001-01-01,2001,279.7401377805141,2001-01-01,Toplam,279.7401377805141
2002-01-01,2002,285.6233651914037,2002-01-01,Toplam,285.6233651914037
2003-01-01,2003,304.79478750038805,2003-01-01,Toplam,304.79478750038805
2004-01-01,2004,314.4235699839391,2004-01-01,Toplam,314.4235699839391
2005-01-01,2005,337.5749984925617,2005-01-01,Toplam,337.5749984925617
2006-01-01,2006,358.0025346816609,2006-01-01,Toplam,358.0025346816609
2007-01-01,2007,391.6970059043079,2007-01-01,Toplam,391.6970059043079
2008-01-01,2008,388.49455629487613,2008-01-01,Toplam,388.49455629487613
2009-01-01,2009,395.1771412461563,2009-01-01,Toplam,395.1771412461563
2010-01-01,2010,398.79316469407036,2010-01-01,Toplam,398.79316469407036
2011-01-01,2011,428.6175890813133,2011-01-01,Toplam,428.6175890813133
2012-01-01,2012,448.1844581338876,2012-01-01,Toplam,448.1844581338876
2013-01-01,2013,440.1953008341929,2013-01-01,Toplam,440.1953008341929
2014-01-01,2014,459.4895079787363,2014-01-01,Toplam,459.4895079787363
2015-01-01,2015,474.9675348442466,2015-01-01,Toplam,474.9675348442466
2016-01-01,2016,501.10790644541123,2016-01-01,Toplam,501.10790644541123
2017-01-01,2017,528.5659289023876,2017-01-01,Toplam,528.5659289023876
2018-01-01,2018,523.1080336552368,2018-01-01,Toplam,523.1080336552368
2019-01-01,2019,508.72587347689836,2019-01-01,Toplam,508.72587347689836
2020-01-01,2020,523.9908166553155,2020-01-01,Toplam,523.9908166553155
2021-01-01,2021,564.3897498866788,2021-01-01,Toplam,564.3897498866788
1990-01-01,1990,219.52615112605991,1990-01-01,CO2,151.61498090581415
1991-01-01,1991,226.79472134126274,1991-01-01,CO2,158.12631529011026
1992-01-01,1992,233.13248256892956,1992-01-01,CO2,164.06487588264298
1993-01-01,1993,240.77174649845836,1993-01-01,CO2,171.13887453457502
1994-01-01,1994,234.3878300250214,1994-01-01,CO2,167.56564675137716
1995-01-01,1995,248.2489088369333,1995-01-01,CO2,181.3552569052867
1996-01-01,1996,267.58138626218545,1996-01-01,CO2,199.64669306308187
1997-01-01,1997,278.8138405457876,1997-01-01,CO2,212.10819800482767
1998-01-01,1998,280.318958801664,1998-01-01,CO2,212.13504312636493
1999-01-01,1999,277.7767990658814,1999-01-01,CO2,207.92791160053457
2000-01-01,2000,298.9167547024636,2000-01-01,CO2,229.93665970433022
2001-01-01,2001,279.7401377805141,2001-01-01,CO2,213.58122897280316
2002-01-01,2002,285.6233651914037,2002-01-01,CO2,221.22564235484705
2003-01-01,2003,304.79478750038805,2003-01-01,CO2,236.76564906939714
2004-01-01,2004,314.4235699839391,2004-01-01,CO2,244.7685810713803
2005-01-01,2005,337.5749984925617,2005-01-01,CO2,264.870636313824
2006-01-01,2006,358.0025346816609,2006-01-01,CO2,282.368322693864
2007-01-01,2007,391.6970059043079,2007-01-01,CO2,313.6933629368511
2008-01-01,2008,388.49455629487613,2008-01-01,CO2,310.6221322538341
