,YIL,TOPLAM M3
0,1991,223190566
1,1992,254137022
2,1993,254784311
3,1994,251308053
4,1995,252420061
5,1996,327129773
6,1997,380891741
7,1998,372865412
8,1999,382178108
9,2000,389242782
10,2001,413402830
11,2002,412457158
12,2003,442044962
13,2004,463399155
14,2005,499217537
15,2006,516540436
16,2007,515349367
17,2008,539882223
18,2009,548226098
19,2010,556052687
20,2011,612946645
21,2012,662503923
22,2013,690859569
23,2014,702580909
24,2015,732663497
25,2016,758279029
26,2017,779668722
27,2018,808426542
28,2019,824878264
29,2020,843564311
30,2021,847027817
31,2022,892103260
