,year,Ömerli,Darlik,Elmali,Terkos,B.çekmece,Sazlidere,Alibey,Kazandere,Pabuçdere,yearS,TotalBaraj
0,2011,450.95,487.43,500.62,764.17,429.46,499.59000000000003,527.07,988.25,1095.06,2011-12-31,5742.6
1,2012,799.4399999999999,990.0,758.09,863.47,618.79,576.75,852.19,1046.55,1048.16,2012-12-31,7553.44
2,2013,436.51,556.56,430.61,701.6899999999999,445.87,445.24,496.72,709.73,777.0,2013-12-31,4999.93
3,2014,795.35,847.78,620.82,1253.16,586.0,796.73,919.38,1328.81,1339.93,2014-12-31,8487.960000000001
4,2015,824.41,926.99,789.99,791.4,579.09,610.58,716.08,936.86,805.6800000000001,2015-12-31,6981.080000000001
5,2016,798.29,946.75,765.06,748.55,519.37,665.86,803.45,998.72,807.4300000000001,2016-12-31,7053.48
6,2017,721.4,828.29,720.76,910.11,644.99,612.9,797.94,1357.73,1099.76,2017-12-31,7693.879999999999
7,2018,842.04,814.45,546.32,1042.66,767.87,866.87,723.46,1025.59,858.58,2018-12-31,7487.84
8,2019,583.29,646.96,415.37,586.9,447.24,482.9,573.8,604.84,584.77,2019-12-31,4926.07
9,2020,903.93,638.94,783.55,869.61,791.39,675.63,795.56,643.13,710.5,2020-12-31,6812.240000000001
10,2021,1139.27,1113.33,908.8199999999999,993.18,708.0,621.64,820.64,910.2,913.7,2021-12-31,8128.780000000001
11,2022,687.14,908.59,727.09,850.66,649.84,845.59,783.49,911.7,775.69,2022-12-31,7139.789999999999
12,2023,212.71,242.32999999999998,214.41,144.44,147.22,135.45,162.17000000000002,124.62,86.2,2023-12-31,1469.55
