iter	RMSE
0	178.7665845
1	172.6516152
2	166.6671603
3	160.7083523
4	155.2695261
5	149.8638858
6	144.4588086
7	139.4259286
8	134.589287
9	129.8945151
10	125.3339766
11	120.8209068
12	116.5319646
13	112.5670358
14	108.7152488
15	104.9070903
16	101.3058349
17	97.83617812
18	94.37766039
19	91.09379626
20	87.86421501
21	84.83187423
22	81.89468059
23	79.06684544
24	76.35683375
25	73.74048859
26	71.29188289
27	68.80358526
28	66.55278359
29	64.23716894
30	62.01883238
31	59.94867162
32	57.94447906
33	55.9667263
34	54.01073998
35	52.10991519
36	50.36055722
37	48.57023275
38	46.87867237
39	45.2716965
40	43.81221543
41	42.2567689
42	40.83071799
43	39.44025263
44	38.05740552
45	36.79824335
46	35.67861407
47	34.49096815
48	33.29254323
49	32.15234036
50	31.11764652
51	30.02636906
52	29.02039056
53	28.04410854
54	27.09835607
55	26.18979305
56	25.33432865
57	24.48916078
58	23.69497615
59	22.93843189
60	22.17594923
61	21.46331025
62	20.78947361
63	20.11415081
64	19.53111867
65	18.9125804
66	18.29212379
67	17.71043457
68	17.16419905
69	16.61183415
70	16.10375215
71	15.58388839
72	15.10620427
73	14.63633573
74	14.17832436
75	13.71670874
76	13.29711241
77	12.88269693
78	12.4959009
79	12.16032387
80	11.80157848
81	11.45593066
82	11.13093511
83	10.81941677
84	10.50689209
85	10.21452797
86	9.927411106
87	9.64693391
88	9.384984105
89	9.134399111
90	8.920082495
91	8.687452491
92	8.47884153
93	8.267519173
94	8.066316572
95	7.865361633
96	7.656384398
97	7.476972157
98	7.311775991
99	7.166623308
100	7.018869628
101	6.870082812
102	6.742769252
103	6.595383081
104	6.436445409
105	6.294743118
106	6.194382647
107	6.074521249
108	5.959091251
109	5.870241096
110	5.781740151
111	5.675396045
112	5.586975189
113	5.504782698
114	5.404739114
115	5.306710593
116	5.203943963
117	5.101218117
118	5.029513653
119	4.955030245
120	4.870876974
121	4.807195291
122	4.71921484
123	4.634737353
124	4.567496534
125	4.513182976
126	4.455089672
127	4.416826694
128	4.372707153
129	4.325286913
130	4.280803548
131	4.249709472
132	4.219661698
133	4.153661249
134	4.107319167
135	4.061852985
136	4.01604258
137	3.96726929
138	3.917072272
139	3.868016285
140	3.82022195
141	3.79376664
142	3.749481447
143	3.715532621
144	3.686783493
145	3.658638023
146	3.64381335
147	3.60271912
148	3.552999364
149	3.514422581
150	3.493776849
151	3.457542993
152	3.432507235
153	3.401387106
154	3.367898181
155	3.345167321
156	3.323674404
157	3.303148257
158	3.266501084
159	3.241179311
160	3.204077718
161	3.178511191
162	3.140636137
163	3.11577464
164	3.094862866
165	3.073099471
166	3.050187043
167	3.035732712
168	3.008459428
169	2.990487475
170	2.970040665
171	2.953140828
172	2.932824515
173	2.918966656
174	2.898820508
175	2.883917539
176	2.871341584
177	2.854774385
178	2.831851501
179	2.823533283
180	2.811929007
181	2.791047948
182	2.773430353
183	2.758929797
184	2.741225428
185	2.725136498
186	2.702956278
187	2.698429716
188	2.688936883
189	2.68120312
190	2.6619152
191	2.645877826
192	2.630719983
193	2.619822105
194	2.605367906
195	2.592740682
196	2.580063046
197	2.567108276
198	2.555324183
199	2.545052367
200	2.535485579
201	2.524824278
202	2.511830307
203	2.501576004
204	2.491310384
205	2.482883087
206	2.472897561
207	2.463937565
208	2.453005579
209	2.444954422
210	2.436167968
211	2.422381249
212	2.4094028
213	2.394551199
214	2.383760497
215	2.37021808
216	2.362114712
217	2.354366957
218	2.342820137
219	2.331499995
220	2.32868211
221	2.321456163
222	2.313652033
223	2.307029415
224	2.30316725
225	2.300585277
226	2.290943516
227	2.280446248
228	2.270658033
229	2.268139671
230	2.266221372
231	2.260614367
232	2.253313692
233	2.246355853
234	2.239676465
235	2.232300932
236	2.222560287
237	2.219570237
238	2.209531358
239	2.200912629
240	2.196547155
241	2.193883726
242	2.191439526
243	2.190214196
244	2.187132183
245	2.175868552
246	2.166448275
247	2.16245618
248	2.159407363
249	2.154385625
250	2.150687506
251	2.138722959
252	2.135145193
253	2.13222478
254	2.125725824
255	2.123496097
256	2.114601294
257	2.112966465
258	2.109757019
259	2.107901534
260	2.105195419
261	2.10431213
262	2.097992824
263	2.097021722
264	2.090831069
265	2.089848151
266	2.088986254
267	2.088067521
268	2.085309745
269	2.076631523
270	2.075993119
271	2.075222203
272	2.072655364
273	2.069956549
274	2.067312303
275	2.066559848
276	2.062818225
277	2.060213838
278	2.059533417
279	2.058886053
280	2.056354502
281	2.055778312
282	2.053300455
283	2.050827664
284	2.042462702
285	2.039398929
286	2.032075449
287	2.029596534
288	2.027164418
289	2.019246364
290	2.016911038
291	2.011284221
292	2.009035639
293	2.001493838
294	1.999275842
295	1.987534969
296	1.984728687
297	1.984107932
298	1.98083768
299	1.975489597
300	1.972315829
301	1.97171357
302	1.969671767
303	1.969087154
304	1.961833984
305	1.959224036
306	1.95866414
307	1.95668157
308	1.954166904
309	1.953579949
310	1.950572655
311	1.948145352
312	1.936901126
313	1.92954626
314	1.922551703
315	1.922074425
316	1.91714437
317	1.912554724
318	1.903350219
319	1.892856969
320	1.888162323
321	1.878084839
322	1.871436808
323	1.867129003
324	1.85759219
325	1.85308034
326	1.852050812
327	1.845807309
328	1.84169973
329	1.840731713
330	1.840195773
331	1.832124709
332	1.823147206
333	1.819916077
334	1.816285512
335	1.813135016
336	1.811996615
337	1.81148793
338	1.8072091
339	1.804133855
340	1.800154123
341	1.79706832
342	1.794967584
343	1.792303236
344	1.787498544
345	1.7837272
346	1.783236595
347	1.782767674
348	1.780263504
349	1.77782405
350	1.777383371
351	1.772946872
352	1.767237394
353	1.764897806
354	1.759390085
355	1.756011874
356	1.75311621
357	1.744486275
358	1.741479001
359	1.736174419
360	1.734600108
361	1.733444058
362	1.733081364
363	1.730141097
364	1.727552572
365	1.726025977
366	1.725135827
367	1.722926406
368	1.72158821
369	1.720495431
370	1.71532125
371	1.713880184
372	1.712342767
373	1.710198096
374	1.70868761
375	1.707286617
376	1.704618317
377	1.702554869
378	1.701495918
379	1.694641925
380	1.68972633
381	1.689024929
382	1.684300269
383	1.682808732
384	1.681481663
385	1.681159119
386	1.680072793
387	1.678787133
388	1.677271535
389	1.675181821
390	1.674864127
391	1.674557888
392	1.673132451
393	1.670480723
394	1.667989424
395	1.6669567
396	1.66160595
397	1.653867288
398	1.648685967
399	1.647266336
400	1.646965734
401	1.646675945
402	1.645683268
403	1.644287916
404	1.643059847
405	1.640624585
406	1.639314106
407	1.63630537
408	1.63118348
409	1.630910603
410	1.629527791
411	1.629379708
412	1.62802186
413	1.620558361
414	1.612615356
415	1.610212725
416	1.609204674
417	1.608478781
418	1.603512171
419	1.602334035
420	1.600979451
421	1.59957564
422	1.598579753
423	1.597247746
424	1.595901985
425	1.595280004
426	1.590381431
427	1.587561056
428	1.587430378
429	1.584499514
430	1.583205562
431	1.582965433
432	1.581999951
433	1.577167035
434	1.576898626
435	1.57215515
436	1.571031554
437	1.568372848
438	1.567089774
439	1.566967187
440	1.564351711
441	1.56178121
442	1.56045171
443	1.55939483
444	1.558127748
445	1.556883649
446	1.55434966
447	1.553383045
448	1.552159022
449	1.545070765
450	1.542564284
451	1.541527936
452	1.539312805
453	1.531890785
454	1.530120277
455	1.525460489
456	1.524497685
457	1.523274517
458	1.518694813
459	1.517695824
460	1.516489733
461	1.515305491
462	1.513140363
463	1.511172252
464	1.506655496
465	1.505486193
466	1.504510599
467	1.502526721
468	1.495814699
469	1.491426443
470	1.490207447
471	1.48777024
472	1.485375013
473	1.484210389
474	1.481854486
475	1.479827178
476	1.478680024
477	1.477553696
478	1.475555661
479	1.474611753
480	1.473503849
481	1.473363773
482	1.47215795
483	1.465181098
484	1.463100631
485	1.461986425
486	1.461053314
487	1.456694783
488	1.455614634
489	1.454458414
490	1.453396722
491	1.452476781
492	1.450248613
493	1.449358673
494	1.445059644
495	1.444043414
496	1.44313405
497	1.442884941
498	1.441856408
499	1.439616109
500	1.43856823
501	1.437675118
502	1.433433873
503	1.431222609
504	1.429421063
505	1.423021443
506	1.420866147
507	1.419906102
508	1.418880984
509	1.417874502
510	1.41688632
511	1.41274568
512	1.408682116
513	1.406546448
514	1.404447792
515	1.403667623
516	1.401738238
517	1.399671859
518	1.398689177
519	1.397805271
520	1.395771636
521	1.39480497
522	1.393144625
523	1.391172916
524	1.384679628
525	1.383604081
526	1.382835494
527	1.381251793
528	1.380296595
529	1.380050061
530	1.379170522
531	1.378253582
532	1.377310338
533	1.371545831
534	1.370499482
535	1.36851469
536	1.367600408
537	1.361374564
538	1.360484009
539	1.354926059
540	1.348978426
541	1.347954743
542	1.347095029
543	1.346082227
544	1.342134617
545	1.341265749
546	1.339224346
547	1.33733233
548	1.335644869
549	1.331784641
550	1.330926481
551	1.32904973
552	1.328162228
553	1.325369249
554	1.32156173
555	1.31965907
556	1.317896525
557	1.316801284
558	1.315967661
559	1.312250824
560	1.310571229
561	1.308880473
562	1.305223184
563	1.304281602
564	1.300689509
565	1.299807787
566	1.296279376
567	1.295690891
568	1.294761684
569	1.291295125
570	1.291044475
571	1.290918729
572	1.290185102
573	1.289337487
574	1.286692555
575	1.281155787
576	1.280620333
577	1.28049725
578	1.280378411
579	1.278785053
580	1.275403891
581	1.272085928
582	1.270157648
583	1.268262836
584	1.267416706
585	1.267297642
586	1.266465181
587	1.265799147
588	1.263237629
589	1.257891995
590	1.256407471
591	1.254552491
592	1.253070046
593	1.249816841
594	1.248312737
595	1.245116255
596	1.243308132
597	1.238150778
598	1.237229724
599	1.236409994
600	1.234882709
601	1.233349311
602	1.230207095
603	1.229366745
604	1.229229772
605	1.226143682
606	1.220578341
607	1.21799056
608	1.217157677
609	1.216349891
610	1.216214133
611	1.214709043
612	1.21409033
613	1.21320023
614	1.208315205
615	1.206841048
616	1.201571239
617	1.200491837
618	1.19905878
619	1.197655522
620	1.1925749
621	1.188290553
622	1.185876386
623	1.18108208
624	1.1795151
625	1.177997352
626	1.176465404
627	1.174973975
628	1.171569442
629	1.169059862
