iter	Passed	Remaining
0	0	434
1	0	383
2	1	351
3	1	330
4	1	320
5	1	321
6	2	319
7	2	329
8	2	329
9	3	327
10	3	321
11	3	321
12	4	319
13	4	321
14	4	324
15	5	325
16	5	323
17	5	325
18	6	326
19	6	319
20	6	318
21	7	319
22	7	321
23	7	323
24	8	322
25	8	331
26	9	329
27	9	332
28	9	332
29	10	331
30	10	330
31	10	329
32	11	330
33	11	331
34	11	330
35	12	329
36	12	328
37	12	327
38	13	327
39	13	326
40	13	325
41	14	326
42	14	328
43	15	328
44	15	327
45	15	327
46	16	326
47	16	325
48	16	321
49	16	322
50	17	322
51	17	321
52	18	321
53	18	321
54	18	319
55	18	316
56	19	315
57	19	317
58	19	318
59	20	319
60	20	318
61	21	318
62	21	317
63	21	314
64	21	312
65	22	311
66	22	310
67	22	310
68	22	309
69	23	309
70	23	310
71	24	309
72	24	309
73	24	308
74	25	308
75	25	308
76	25	309
77	26	309
78	26	308
79	26	308
80	27	307
81	27	306
82	27	306
83	28	307
84	28	306
85	28	305
86	29	305
87	29	304
88	29	304
89	30	304
90	30	304
91	30	303
92	31	303
93	31	303
94	31	303
95	32	303
96	32	304
97	32	303
98	33	303
99	33	303
100	34	303
101	34	302
102	34	302
103	35	301
104	35	302
105	35	302
106	36	302
107	36	300
108	36	300
109	37	300
110	37	300
111	38	301
112	38	302
113	38	301
114	39	301
115	39	301
116	39	300
117	40	300
118	40	299
119	40	299
120	41	298
121	41	298
122	41	298
123	42	297
124	42	297
125	42	296
126	43	296
127	43	296
128	43	296
129	44	296
130	44	296
131	45	296
132	45	295
133	45	294
134	45	294
135	46	293
136	46	293
137	46	292
138	47	292
139	47	292
140	47	292
141	48	291
142	48	291
143	48	291
144	49	290
145	49	291
146	50	290
147	50	290
148	50	290
149	51	289
150	51	289
151	51	288
152	52	287
153	52	287
154	52	286
155	52	285
156	53	285
157	53	284
158	53	284
159	54	283
160	54	283
161	54	283
162	55	282
163	55	282
164	55	281
165	56	281
166	56	281
167	56	280
168	56	280
169	57	279
170	57	279
171	58	279
172	58	278
