zaman,year,month,road_type,count,mean,std,min,25%,50%,75%,max
aksam,2020,1,DENİZ,10055.0,259.7094977623073,539.8148870105474,1.0,22.0,78.0,268.0,6072.0
aksam,2020,1,OTOYOL,225340.0,201.3664285080323,1461.4089669257505,1.0,16.0,55.0,168.0,82561.0
aksam,2020,1,RAYLI,5067.0,6094.401026248273,9345.317181312135,1.0,243.0,1650.0,7422.0,58757.0
aksam,2020,2,DENİZ,9383.0,279.2181605030374,608.5179677527716,1.0,22.0,81.0,277.0,7291.0
aksam,2020,2,OTOYOL,211621.0,215.37685295882733,1525.028597502963,1.0,16.0,55.0,181.0,81433.0
aksam,2020,2,RAYLI,4874.0,6206.066885514977,9382.748231339569,1.0,253.0,1913.5,7234.25,58100.0
aksam,2020,3,DENİZ,9625.0,177.14171428571427,496.6867989562956,1.0,9.0,35.0,132.0,9451.0
aksam,2020,3,OTOYOL,211606.0,139.23005491337673,1122.3481178800646,1.0,8.0,29.0,100.0,80564.0
aksam,2020,3,RAYLI,4992.0,3631.0138221153848,6947.936741114921,1.0,85.0,757.0,3553.25,58021.0
aksam,2020,4,DENİZ,6208.0,28.78076675257732,52.26852293087055,1.0,4.0,10.0,29.0,477.0
aksam,2020,4,OTOYOL,158897.0,37.81038030925694,235.1859108816146,1.0,4.0,11.0,33.0,15044.0
aksam,2020,4,RAYLI,3318.0,802.0952380952381,1060.1155351261132,1.0,34.0,389.0,1105.25,5747.0
aksam,2020,5,DENİZ,5237.0,49.50085927057476,97.83299801985697,1.0,4.0,14.0,50.0,1121.0
aksam,2020,5,OTOYOL,157742.0,45.42390739308491,357.4984945008148,1.0,4.0,12.0,36.0,25720.0
aksam,2020,5,RAYLI,3406.0,1045.4089841456253,1705.5359794434817,1.0,38.0,206.0,1316.75,10030.0
aksam,2020,6,DENİZ,9149.0,137.69308121106133,230.02839271055137,1.0,17.0,51.0,165.0,2446.0
aksam,2020,6,OTOYOL,199399.0,100.80411135462063,716.2126539902883,1.0,9.0,29.0,85.0,40753.0
aksam,2020,6,RAYLI,4263.0,2802.2481820314333,3590.19774370541,1.0,122.0,1520.0,3582.0,19225.0
aksam,2020,7,DENİZ,9933.0,202.21876573039364,321.107394311061,1.0,24.0,76.0,247.0,4016.0
aksam,2020,7,OTOYOL,208499.0,120.96131875932258,831.630095108399,1.0,11.0,36.0,104.0,44738.0
aksam,2020,7,RAYLI,4748.0,3251.0574978938503,4277.160282478357,1.0,132.0,1638.5,4170.5,24398.0
aksam,2020,8,DENİZ,9903.0,228.18570130263558,363.45586190395034,1.0,27.0,85.0,279.0,3069.0
aksam,2020,8,OTOYOL,210293.0,130.19825196273771,871.8778275418196,1.0,12.0,39.0,113.0,47146.0
aksam,2020,8,RAYLI,5253.0,3180.148676946507,4460.578719870561,1.0,125.0,1308.0,4246.0,23563.0
aksam,2020,9,DENİZ,9535.0,200.8647089669638,337.70264976691226,1.0,23.0,74.0,252.0,3177.0
aksam,2020,9,OTOYOL,208369.0,135.91263095758006,961.9168712476994,1.0,11.0,38.0,113.0,52173.0
aksam,2020,9,RAYLI,5172.0,3358.357695282289,4883.971803551792,1.0,129.0,1294.0,4224.5,25154.0
aksam,2020,10,DENİZ,9704.0,204.21960016488046,355.2337766522507,1.0,22.0,70.0,248.0,3383.0
aksam,2020,10,OTOYOL,214416.0,141.37719666442803,995.839406987083,1.0,11.0,39.0,117.0,54502.0
aksam,2020,10,RAYLI,5277.0,3631.5122228538944,5180.940157130075,1.0,143.0,1461.0,4595.0,27402.0
aksam,2020,11,DENİZ,9132.0,138.4692290845379,262.3100695622123,1.0,14.0,44.0,159.25,2823.0
aksam,2020,11,OTOYOL,203733.0,121.29830709801554,890.8040535909054,1.0,9.0,32.0,98.0,51179.0
aksam,2020,11,RAYLI,5410.0,2978.759519408503,4375.583961051347,1.0,110.0,1192.0,3682.5,24534.0
aksam,2020,12,DENİZ,8532.0,105.91678387248008,217.1888967462045,1.0,8.0,30.0,103.0,2219.0
aksam,2020,12,OTOYOL,202233.0,101.1402095602597,902.1555464366248,1.0,7.0,25.0,76.0,53614.0
aksam,2020,12,RAYLI,4991.0,2761.3456221198157,4584.207894784614,1.0,73.0,566.0,3288.5,28141.0
aksam,2021,1,DENİZ,8140.0,104.08280098280099,218.46247408959462,1.0,8.0,29.0,97.0,2394.0
aksam,2021,1,OTOYOL,194693.0,100.05243126357907,901.6139139796869,1.0,7.0,25.0,76.0,55545.0
aksam,2021,1,RAYLI,4946.0,2658.151435503437,4593.429496206267,1.0,104.0,490.5,3090.25,30833.0
aksam,2021,2,DENİZ,7810.0,132.51971830985914,263.600923707713,1.0,9.0,39.0,131.0,2851.0
aksam,2021,2,OTOYOL,174561.0,121.1852532925453,1032.41011247893,1.0,9.0,32.0,97.0,57723.0
aksam,2021,2,RAYLI,4744.0,3120.231450252951,5201.141834728264,1.0,112.0,576.5,3835.25,35006.0
aksam,2021,3,DENİZ,9410.0,165.16769394261425,320.7247000651824,1.0,13.0,49.0,178.0,3259.0
aksam,2021,3,OTOYOL,207311.0,142.20304759515898,1135.3838309580412,1.0,11.0,39.0,115.0,58455.0
aksam,2021,3,RAYLI,5546.0,3797.5137035701405,5959.3746662621425,1.0,138.0,790.5,4641.25,35424.0
aksam,2021,4,DENİZ,8310.0,128.55270758122742,271.83077582217777,1.0,9.0,37.0,120.0,3216.0
aksam,2021,4,OTOYOL,188384.0,117.38793103448276,1046.5930047280262,1.0,9.0,30.0,92.0,66605.0
aksam,2021,4,RAYLI,4936.0,3041.518233387358,5473.087869570181,1.0,120.0,571.0,3336.75,36651.0
aksam,2021,5,DENİZ,8065.0,112.14457532548047,249.27462012455337,1.0,8.0,32.0,98.0,3858.0
