trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2018-01-22 00:00:00.000,1,75,33.367134
2020-10-28 00:00:00.000,2,69,29.742857
2018-01-31 00:00:00.000,1,74,30.049295
2016-04-17 00:00:00.000,1,58,26.557491
2019-08-20 00:00:00.000,1,51,23.142361
2021-12-15 00:00:00.000,9,83,44.5625
2018-02-07 00:00:00.000,1,69,26.143356
2017-06-27 00:00:00.000,1,29,12.344948
2018-07-06 00:00:00.000,1,65,30.111498
2017-12-29 00:00:00.000,1,79,31.982143
2021-09-11 00:00:00.000,1,62,32.695339
2017-07-14 00:00:00.000,1,57,31.508064
2020-04-19 00:00:00.000,1,13,6.1770835
2021-11-11 00:00:00.000,2,80,36.253471
2015-09-08 00:00:00.000,4,69,33.8885
2015-12-24 00:00:00.000,2,81,37.770035
2015-10-14 00:00:00.000,1,69,33.506943
2022-10-30 00:00:00.000,0,58,21.599733
2017-02-01 00:00:00.000,1,65,26.054878
2021-10-15 00:00:00.000,2,67,34.298244
2020-11-08 00:00:00.000,2,65,16.53125
2018-03-24 00:00:00.000,1,51,26.586716
2022-09-09 00:00:00.000,0,74,32.935543
2019-04-30 00:00:00.000,1,71,31.901754
2021-03-08 00:00:00.000,4,74,34.970909
2020-02-17 00:00:00.000,4,63,30.038195
2017-05-22 00:00:00.000,1,54,23.257839
2022-11-08 00:00:00.000,0,78,30.971483
2022-05-25 00:00:00.000,1,71,31.967703
2021-11-06 00:00:00.000,4,72,35.135418
2018-12-13 00:00:00.000,1,63,26.503471
2022-02-17 00:00:00.000,1,67,30.447916
2018-10-24 00:00:00.000,1,60,23.795139
2021-02-16 00:00:00.000,15,51,30.678322
2018-06-17 00:00:00.000,1,56,20.43969
2022-01-10 00:00:00.000,0,62,27.003496
2019-03-03 00:00:00.000,1,42,16.392982
2016-07-02 00:00:00.000,4,44,23.444056
2020-06-12 00:00:00.000,6,60,28.871885
2022-04-20 00:00:00.000,1,76,27.823494
2016-08-01 00:00:00.000,4,65,32.90876
2019-07-17 00:00:00.000,1,49,23.234266
2021-11-10 00:00:00.000,8,78,38.034966
2022-08-30 00:00:00.000,0,38,18.087887
2022-11-12 00:00:00.000,0,69,30.064775
2020-07-12 00:00:00.000,1,33,15.684028
2016-10-31 00:00:00.000,1,65,24.680555
2015-09-26 00:00:00.000,1,49,22.806337
2022-03-06 00:00:00.000,1,40,18.17193
2020-02-21 00:00:00.000,13,65,44.027779
2015-11-28 00:00:00.000,4,69,35.513985
2016-09-10 00:00:00.000,1,40,16.354385
2016-06-13 00:00:00.000,1,60,28.763889
2022-11-26 00:00:00.000,0,65,29.115646
2018-07-21 00:00:00.000,1,44,19.87108
2017-11-23 00:00:00.000,1,57,24.445993
2021-07-16 00:00:00.000,2,47,25.027779
2021-08-24 00:00:00.000,2,65,31.072916
2019-09-20 00:00:00.000,1,80,37.625
2018-09-18 00:00:00.000,1,56,23.281021
2020-04-27 00:00:00.000,1,36,11.923345
2018-05-12 00:00:00.000,2,62,32.856644
2018-11-28 00:00:00.000,1,76,37.142361
2018-09-05 00:00:00.000,1,67,30.034843
2016-09-08 00:00:00.000,1,71,36.852631
2021-03-21 00:00:00.000,2,18,9.051095
2020-12-31 00:00:00.000,1,62,26.756945
2019-11-07 00:00:00.000,2,69,30.190971
2017-10-08 00:00:00.000,1,45,20.739584
2020-09-15 00:00:00.000,4,62,32.275864
2017-02-15 00:00:00.000,1,53,23.524305
2020-05-09 00:00:00.000,1,17,7.5053763
2019-07-11 00:00:00.000,2,53,28.881945
