,zaman,year,month,count,mean,std,min,25%,50%,75%,max
0,aksam,2020,1,427554.0,96.50566010375297,111.18445099069817,1.0,22.0,59.0,125.0,1248.0
1,aksam,2020,2,382433.0,93.19839553595008,106.29794074808129,1.0,22.0,58.0,121.0,1121.0
2,aksam,2020,3,432666.0,83.4027009286609,99.13904492183711,1.0,19.0,50.0,107.0,1141.0
3,aksam,2020,4,408669.0,63.0764677526311,84.80876698079572,1.0,12.0,33.0,79.0,1058.0
4,aksam,2020,5,427705.0,64.75349130826153,91.36960307318213,1.0,12.0,32.0,80.0,1113.0
5,aksam,2020,6,386329.0,96.89520331116742,112.07135962953804,1.0,24.0,60.0,123.0,1160.0
6,aksam,2020,7,435906.0,92.91972810651838,105.45429024013991,1.0,24.0,58.0,119.0,1080.0
7,aksam,2020,8,435659.0,91.10465065567335,104.19599404308312,1.0,23.0,57.0,116.0,1074.0
8,aksam,2020,9,421775.0,98.32147709086598,111.16916460827211,1.0,25.0,62.0,126.0,1100.0
9,aksam,2020,10,434597.0,88.55896382165547,100.7651894385722,1.0,22.0,56.0,113.0,1137.0
10,aksam,2020,11,410981.0,90.88057598769772,104.27176078034513,1.0,22.0,57.0,116.0,1054.0
11,aksam,2020,12,433384.0,82.69636165617558,98.18090566681872,1.0,19.0,50.0,107.0,954.0
12,aksam,2021,1,433269.0,83.55466234602521,100.47710741637191,1.0,18.0,49.0,108.0,1351.0
13,aksam,2021,2,391768.0,87.87332043454289,102.32953050154347,1.0,20.0,54.0,115.0,1023.0
14,aksam,2021,3,434738.0,91.75783575394836,103.30396555215198,1.0,22.0,58.0,120.0,1035.0
15,aksam,2021,4,405926.0,82.91917985051462,95.15594318546952,1.0,20.0,51.0,109.0,1024.0
16,aksam,2021,5,433977.0,74.89260951617251,88.57125441141578,1.0,18.0,44.0,98.0,965.0
17,aksam,2021,6,338021.0,82.23692906653729,92.79981464143614,1.0,21.0,51.0,107.0,866.0
18,aksam,2021,7,440363.0,81.7009875943256,92.1438267347324,1.0,21.0,51.0,105.0,1075.0
19,aksam,2021,8,444494.0,94.56450255796479,104.73309471114132,1.0,24.0,60.0,122.0,1022.0
20,aksam,2021,9,427011.0,93.45192746791066,103.0513034531587,1.0,24.0,59.0,122.0,1084.0
21,aksam,2021,10,441191.0,88.18860312200385,98.05599811982621,1.0,23.0,55.0,115.0,980.0
22,aksam,2021,11,429705.0,94.25207991529072,102.81685027151495,1.0,24.0,60.0,124.0,935.0
23,aksam,2021,12,442403.0,85.84136635601476,95.04841693173574,1.0,22.0,54.0,111.0,970.0
24,aksam,2022,1,441689.0,88.23795702405991,101.14499284819243,1.0,21.0,54.0,113.0,977.0
25,aksam,2022,2,399371.0,83.12134331235869,94.42099569178217,1.0,20.0,52.0,107.0,962.0
26,aksam,2022,3,443232.0,101.05705815464587,114.74246866719893,1.0,24.0,63.0,130.0,1011.0
27,aksam,2022,4,407715.0,91.96906662742357,103.31709801426656,1.0,23.0,57.0,119.0,991.0
28,aksam,2022,5,430320.0,93.17737032905744,104.84788487340201,1.0,23.0,58.0,121.0,1033.0
29,aksam,2022,6,386538.0,93.04612224412607,103.72322710957522,1.0,23.0,58.0,121.0,942.0
30,aksam,2022,7,443721.0,82.96298349638624,92.30486580678702,1.0,22.0,52.0,107.0,927.0
31,aksam,2022,8,444186.0,94.4010144398968,106.3236820520875,1.0,24.0,58.0,122.0,1008.0
32,aksam,2022,9,428812.0,87.45755249386677,97.12242699518343,1.0,22.0,54.0,114.0,829.0
33,aksam,2022,10,424172.0,91.20060494327772,100.7433225374094,1.0,23.0,57.0,119.0,842.0
34,aksam,2022,11,427310.0,83.20851138517703,91.79758825599218,1.0,20.0,52.0,110.0,842.0
35,aksam,2022,12,441185.0,79.57993585457348,88.434638137296,1.0,19.0,50.0,105.0,796.0
36,aksam,2023,1,442370.0,84.87176571648168,93.86837577831436,1.0,21.0,53.0,113.0,864.0
37,aksam,2023,2,399848.0,89.03094675976871,97.90222275800997,1.0,22.0,56.0,119.0,976.0
38,aksam,2023,3,428107.0,85.11452977877026,94.8536519906098,1.0,20.0,53.0,113.0,871.0
39,aksam,2023,4,429162.0,82.99451256168999,91.26726629937578,1.0,21.0,52.0,111.0,923.0
40,aksam,2023,5,427745.0,89.8628622193129,98.69300350391035,1.0,22.0,57.0,120.0,1064.0
41,aksam,2023,6,410193.0,80.26368563091033,89.15475793534641,1.0,20.0,50.0,106.0,874.0
42,aksam,2023,7,357096.0,39.899828057441134,72.825707847692,1.0,1.0,3.0,49.0,977.0
43,gece,2020,1,615451.0,48.06405059054254,64.3739558297585,1.0,8.0,23.0,60.0,773.0
44,gece,2020,2,538073.0,49.24582538057104,65.13353539540314,1.0,8.0,24.0,62.0,750.0
45,gece,2020,3,617311.0,40.19869401322834,54.891213452854714,1.0,7.0,19.0,50.0,798.0
46,gece,2020,4,569278.0,23.770778073278784,32.37722058311371,1.0,4.0,11.0,29.0,442.0
47,gece,2020,5,598159.0,27.037501734488657,38.89953588133059,1.0,5.0,13.0,32.0,559.0
48,gece,2020,6,552966.0,41.056305450968054,54.96389378667208,1.0,7.0,20.0,51.0,616.0
49,gece,2020,7,629496.0,44.58859150812714,58.49677857561095,1.0,8.0,23.0,56.0,660.0
50,gece,2020,8,626163.0,43.67932151851834,57.21237980413454,1.0,8.0,22.0,55.0,646.0
51,gece,2020,9,605358.0,45.72380145302449,60.367972470211996,1.0,8.0,23.0,57.0,688.0
52,gece,2020,10,626115.0,44.34932081167198,58.3710015902525,1.0,8.0,22.0,56.0,713.0
53,gece,2020,11,584940.0,39.497273224604236,53.911631222931256,1.0,7.0,19.0,49.0,682.0
54,gece,2020,12,608820.0,33.29136854899642,46.460516771141734,1.0,5.0,16.0,41.0,733.0
55,gece,2021,1,595467.0,33.26520529265266,47.02720849007062,1.0,5.0,15.0,40.0,673.0
56,gece,2021,2,540912.0,35.79195321974739,50.7429325215286,1.0,5.0,16.0,44.0,726.0
57,gece,2021,3,607254.0,38.417805399388065,53.388706445180155,1.0,6.0,18.0,48.0,726.0
58,gece,2021,4,559219.0,37.91077556377734,51.580137742750196,1.0,6.0,18.0,47.0,629.0
59,gece,2021,5,610645.0,34.504613973749066,47.485081898893725,1.0,6.0,16.0,42.0,658.0
60,gece,2021,6,496648.0,41.8031040092782,56.67779964877638,1.0,7.0,20.0,53.0,615.0
61,gece,2021,7,633723.0,46.062835024135154,60.24248704579729,1.0,8.0,23.0,58.0,665.0
62,gece,2021,8,639516.0,50.53711869601386,65.82610939609818,1.0,9.0,25.0,65.0,641.0
63,gece,2021,9,609143.0,48.55644733666807,64.99655035074196,1.0,8.0,23.0,61.0,686.0
64,gece,2021,10,596576.0,45.78302010137853,62.30509993570841,1.0,8.0,22.0,57.0,720.0
65,gece,2021,11,619716.0,50.56179282122779,65.79404611764991,1.0,9.0,25.0,64.0,767.0
66,gece,2021,12,637625.0,49.17244148206234,63.45067348376629,1.0,9.0,24.0,63.0,612.0
67,gece,2022,1,625432.0,44.498853592396934,58.63406277307796,1.0,8.0,22.0,56.0,661.0
68,gece,2022,2,578538.0,47.055759517957334,61.11557863314217,1.0,8.0,23.0,60.0,656.0
69,gece,2022,3,637547.0,50.02662548800324,66.16609049499003,1.0,9.0,24.0,63.0,706.0
70,gece,2022,4,595443.0,52.89076704235334,68.4965454315387,1.0,9.0,27.0,67.0,644.0
71,gece,2022,5,612621.0,52.013571196547296,68.19619342627571,1.0,9.0,26.0,66.0,716.0
72,gece,2022,6,521101.0,55.69445462587867,71.6899948786341,1.0,10.0,28.0,71.0,677.0
73,gece,2022,7,639153.0,50.63931484323785,65.13112443499382,1.0,9.0,25.0,64.0,670.0
74,gece,2022,8,650131.0,54.175000115361364,69.06279545734218,1.0,10.0,27.0,70.0,699.0
75,gece,2022,9,625290.0,53.65989860704633,68.43148242225674,1.0,10.0,27.0,69.0,674.0
76,gece,2022,10,616285.0,53.356083630138656,69.21090056773335,1.0,10.0,27.0,68.0,651.0
77,gece,2022,11,611824.0,51.256465911765474,65.6019320241926,1.0,9.0,26.0,66.0,693.0
78,gece,2022,12,634507.0,51.02452140007912,65.63058469439424,1.0,9.0,26.0,65.0,657.0
79,gece,2023,1,634588.0,50.53449167018601,65.76847755701854,1.0,9.0,25.0,64.0,703.0
80,gece,2023,2,579173.0,50.81114796442514,66.2841555371967,1.0,9.0,25.0,65.0,663.0
81,gece,2023,3,614597.0,51.5643177561882,66.82761254967573,1.0,9.0,25.0,66.0,665.0
82,gece,2023,4,589221.0,52.00638639831235,66.81733547639874,1.0,9.0,26.0,67.0,669.0
83,gece,2023,5,579958.0,55.67287803599571,71.42344448313405,1.0,10.0,28.0,71.0,710.0
